Date,Traffic Congestion Rate
2017-01,628
2017-02,618
2017-03,688
2017-04,705
2017-05,770
2017-06,736
2017-07,678
2017-08,639
2017-09,604
2017-10,611
2017-11,594
2017-12,634
2018-01,658
2018-02,622
2018-03,621
2018-04,722
2018-05,782
2018-06,756
2018-07,702
2018-08,653
2018-09,615
2018-10,621
2018-11,602
2018-12,635
2019-01,677
2019-02,635
2019-03,736
2019-04,755
2019-05,811
2019-06,798
2019-07,735
2019-08,697
2019-09,661
2019-10,667
2019-11,645
2019-12,688
2020-01,713
2020-02,667
2020-03,762
2020-04,784
2020-05,837
2020-06,817
2020-07,767
2020-08,722
2020-09,681
2020-10,687
2020-11,660
2020-12,698
2021-01,717
2021-02,696
2021-03,775
2021-04,796
2021-05,858
2021-06,826
2021-07,783
2021-08,740
2021-09,701
2021-10,706
2021-11,677
2021-12,711
